producers,consumers,throughput
10,10,0.001005
10,20,0.001233
10,30,0.001371
10,40,0.001064
10,50,0.001404
10,60,0.001524
10,70,0.001431
10,80,0.001533
10,90,0.001443
10,100,0.001420
10,110,0.001655
10,120,0.002659
10,130,0.002494
10,140,0.002646
10,150,0.002657
10,160,0.002595
10,170,0.002668
10,180,0.002660
10,190,0.002707
10,200,0.002612
10,210,0.002933
10,220,0.002941
10,230,0.003002
10,240,0.003016
10,250,0.003191
10,260,0.003050
10,270,0.003230
10,280,0.003170
10,290,0.005004
10,300,0.004717
